"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"Pim3",13514.4679003635,1.24371624554446,0.0905755256447765,8.39285886083066e-44,1.72800571085643e-39,"Pim3","Yes","Pim3"
"Gm10800",24.3562084028834,4.64349511860072,0.368365922873252,1.15232914788128e-36,1.18626524128638e-32,"Gm10800","Yes","Gm10800"
"Mir100hg",476.012079553972,-2.08681864685929,0.197723059335486,1.5677571194472e-27,1.07595171107661e-23,"Mir100hg","Yes","Mir100hg"
"Gadd45g",5827.87332995193,0.923171047974042,0.0918843561656997,6.70822992410077e-25,3.45289364768277e-21,"Gadd45g","Yes","Gadd45g"
"Tnfrsf1a",4749.26977420567,0.466027542495407,0.0470340042257344,5.4108294778222e-24,2.22807136237763e-20,"Tnfrsf1a","Yes","Tnfrsf1a"
"Gm42987",71.6908925412725,1.95387418450312,0.212473030676316,1.77589654165348e-21,6.09398898268391e-18,"Gm42987","Yes","Gm42987"
"Gm21123",95.7362809789255,-2.65886295148235,0.299438059724858,6.7867328817308e-21,1.99617204717079e-17,"Gm21123","Yes","Gm21123"
"Gm28119",21.317412368366,-2.45180000280488,0.281854660607287,1.61323085078565e-19,4.15185124835323e-16,"Gm28119","Yes","Gm28119"
"Peg10",1383.87697230941,-1.20183381354276,0.139659323783974,4.3483930383684e-19,9.94767380744078e-16,"Peg10","Yes","Peg10"
"Etv3",7708.90625851035,1.00954740829624,0.123315152499753,1.12700537503856e-17,2.32039136666689e-14,"Etv3","Yes","Etv3"
"D630033A02Rik",54.0176886752769,-1.64928799619974,0.208279720936575,4.26857042664325e-17,7.98959968310525e-14,"D630033A02Rik","Yes","D630033A02Rik"
"Mapk1ip1l",1783.05716570277,-0.273532435928786,0.0334912239290252,1.18183520969244e-16,2.02773376102981e-13,"Mapk1ip1l","Yes","Mapk1ip1l"
"Gm13986",27.9257380265909,-1.74030372186572,0.222024268711451,2.31516481748102e-16,3.6666868020859e-13,"Gm13986","Yes","Gm13986"
"Txnip",46534.9785677535,1.0070095543985,0.128623492309261,2.63575724625358e-16,3.87625756736535e-13,"Txnip","Yes","Txnip"
"Hlx",291.823992983758,-1.16531844624473,0.150250311778722,3.76589588038022e-16,5.1690686854099e-13,"Hlx","Yes","Hlx"
"Gm8307",21.4374914287523,-2.02961021940386,0.260771915224204,4.04616136579164e-16,5.20665102251775e-13,"Gm8307","Yes","Gm8307"
"6720427I07Rik",66.996510522168,-1.10535298678158,0.142730924084495,5.92551783573233e-16,6.97870019869943e-13,"6720427I07Rik","Yes","6720427I07Rik"
"Cep63",914.539457443626,0.349848674994451,0.0443183204924408,6.44010412236093e-16,6.97870019869943e-13,"Cep63","Yes","Cep63"
"Xkr4",50.2342563490649,-2.04402352230977,0.266513950909911,6.17579836112032e-16,6.97870019869943e-13,"Xkr4","Yes","Xkr4"
"Gm10718",6.89631176245165,6.0764503215514,1.03415047796962,7.26046888790157e-16,7.13198851858681e-13,"Gm10718","Yes","Gm10718"
"Klhl25",696.707618867339,-0.93831549640238,0.121551216097937,7.27435809851489e-16,7.13198851858681e-13,"Klhl25","Yes","Klhl25"
"Sipa1l1",3791.9752032385,-0.499526002877757,0.0641323196609968,7.96870462085631e-16,7.4576208835823e-13,"Sipa1l1","Yes","Sipa1l1"
"Gm37309",36.2284820809476,-1.53180424967018,0.199724334482681,1.00509895875348e-15,8.99738367903279e-13,"Gm37309","Yes","Gm37309"
"Drap1",3461.44137743289,0.4262601082376,0.0548679747778325,1.09333650909161e-15,9.37946057736961e-13,"Drap1","Yes","Drap1"
"Thumpd1",1406.03199740265,0.388862511090467,0.0498569129907252,1.25132428125972e-15,1.03054062507425e-12,"Thumpd1","Yes","Thumpd1"
"Rasd1",3693.12460141388,1.60287367305761,0.21259867756285,1.99353740788723e-15,1.57865160349962e-12,"Rasd1","Yes","Rasd1"
"A830008E24Rik",72.6196832273131,1.90114917367334,0.254300344778805,2.786752712092e-15,2.12505376256527e-12,"A830008E24Rik","Yes","A830008E24Rik"
"Gm17491",108.576169374659,0.953685273629654,0.128596817639033,7.83386226509998e-15,5.76040679200512e-12,"Gm17491","Yes","Gm17491"
"Tmem267",385.044095234788,1.89118896488964,0.258776569225441,9.8770199846866e-15,7.01234360223146e-12,"Tmem267","Yes","Tmem267"
"Adm",5359.91899510746,-1.54944837241874,0.216907007436923,1.04866565208053e-14,7.19699237022867e-12,"Adm","Yes","Adm"
"Itih4",395.364231100118,1.42470310341945,0.194182279261728,1.19866417031657e-14,7.96106342020901e-12,"Itih4","Yes","Itih4"
"Polr3gl",1636.98167538437,0.821874710824821,0.112005079225578,1.61417726272085e-14,1.03857173944249e-11,"Polr3gl","Yes","Polr3gl"
"Gm10719",7.02065104835013,6.91434786462116,1.37631212482175,1.6937406690921e-14,1.05674020108901e-11,"Gm10719","Yes","Gm10719"
"Fam78b",467.358409006115,-1.18093899076016,0.16303967265324,1.86543841676838e-14,1.12963269302483e-11,"Fam78b","Yes","Fam78b"
"Arpc1a",3074.54364091564,0.252316429707478,0.0335463457416517,2.18422398698169e-14,1.28488536194189e-11,"Arpc1a","Yes","Arpc1a"
"Cxcl2",2756.87660198395,-1.41948335103386,0.198310457708945,2.37824093368597e-14,1.3601556273239e-11,"Cxcl2","Yes","Cxcl2"
"Lgals3",3940.36409321947,-0.847077361032424,0.117493451989054,2.73163956063287e-14,1.52004667334784e-11,"Lgals3","Yes","Lgals3"
"Inca1",383.331957172302,0.763045138494698,0.104982683936184,2.80889550335959e-14,1.52190393470186e-11,"Inca1","Yes","Inca1"
"Pithd1",782.413436953002,0.366664887454389,0.0499780435846187,3.21073759968233e-14,1.69502247281691e-11,"Pithd1","Yes","Pithd1"
"Las1l",1658.25374427303,0.448924281699665,0.0613833624405028,4.16919350718746e-14,2.14598812798706e-11,"Las1l","Yes","Las1l"
"Tob1",8764.13137522707,0.661840569009689,0.0916565484902007,4.66403394405376e-14,2.34214133839324e-11,"Tob1","Yes","Tob1"
"Clock",3422.83801989907,-0.462631610331214,0.0638778335917661,6.4719821286252e-14,3.09887534991312e-11,"Clock","Yes","Clock"
"Orai2",81.844331908749,-1.68667401451768,0.245799362441228,6.36884733302687e-14,3.09887534991312e-11,"Orai2","Yes","Orai2"
"9930004E17Rik",32.0153223603459,1.20017517358135,0.170492801581474,1.0025883877337e-13,4.58717607001093e-11,"9930004E17Rik","Yes","9930004E17Rik"
"Oxtr",19830.0949743447,-1.26781617139971,0.180760799560956,1.00093995249581e-13,4.58717607001093e-11,"Oxtr","Yes","Oxtr"
"Gm28863",9.95658232758411,-2.94994982570467,0.418341118882282,1.09000430734914e-13,4.87871710521987e-11,"Gm28863","Yes","Gm28863"
"Gstt2",1104.09857759275,1.38538387988113,0.200685131366044,1.38136548547391e-13,6.05126254902603e-11,"Gstt2","Yes","Gstt2"
"Gm36979",12.4727358998413,-2.22918709081065,0.318147821918525,1.52226537397738e-13,6.52956703850424e-11,"Gm36979","Yes","Gm36979"
"Tra2b",3392.32904165493,0.298152443638028,0.0414729044207975,2.0454937542531e-13,8.59483079720755e-11,"Tra2b","Yes","Tra2b"
"Plec",2325.52880122531,-0.55632935518909,0.0790847234976746,2.26170591092039e-13,9.31325259998796e-11,"Plec","Yes","Plec"
"Rcn1",657.724510981909,0.458527134735684,0.0652137580112064,2.95191975826804e-13,1.19170737064668e-10,"Rcn1","Yes","Rcn1"
"Angptl4",37519.0113784596,0.772644569788253,0.111321963225821,3.05780382454169e-13,1.2107139027594e-10,"Angptl4","Yes","Angptl4"
"1200007C13Rik",68.661331657806,1.5671024342885,0.228739264700452,3.44552009109681e-13,1.33848704067155e-10,"1200007C13Rik","Yes","1200007C13Rik"
"Ptrh1",157.969726262647,-0.711775219695052,0.102967044033005,3.84170728430191e-13,1.46475761623133e-10,"Ptrh1","Yes","Ptrh1"
"Adamts2",6041.1196964525,-0.918252012326299,0.133578350076846,4.06951384905142e-13,1.52340401160218e-10,"Adamts2","Yes","Adamts2"
"Rp9",856.742621425909,0.444624903200357,0.0636136108271851,4.54557564218571e-13,1.67122958744574e-10,"Rp9","Yes","Rp9"
"Osgin1",2599.94497878213,0.769969145932994,0.113074523644095,7.48168102009714e-13,2.70246193899614e-10,"Osgin1","Yes","Osgin1"
"Ereg",37.9755431175108,-1.71531939838947,0.260809648975528,7.62537107269006e-13,2.70687525888993e-10,"Ereg","Yes","Ereg"
"4930402H24Rik",8678.02269761349,-0.368228336600874,0.0526363482720631,8.46614443097942e-13,2.92045013259422e-10,"4930402H24Rik","Yes","4930402H24Rik"
"Gstm1",10123.4705851237,0.437260979398403,0.0638634011014308,8.51070998861787e-13,2.92045013259422e-10,"Gstm1","Yes","Gstm1"
"Nin",1064.063607927,-0.505186000987642,0.0740037207067999,9.03700757438903e-13,3.05021227785403e-10,"Nin","Yes","Nin"
"Lgals9",2209.697055864,-0.534048941303478,0.0777766652801864,9.83579105954358e-13,3.26627584072488e-10,"Lgals9","Yes","Lgals9"
"Rasl11b",1057.74588446186,1.21039379967935,0.181377776261977,1.00282578672826e-12,3.27733017824573e-10,"Rasl11b","Yes","Rasl11b"
"Slc44a3",861.24839865469,0.385043530977897,0.0562601738033985,1.56383601852237e-12,5.03090934146203e-10,"Slc44a3","Yes","Slc44a3"
"Gm15417",529.363797520176,0.517944427885721,0.0765588206665019,1.6650344200831e-12,5.27406056539862e-10,"Gm15417","Yes","Gm15417"
"Icam1",460.292382063278,-1.37267390600909,0.208634813775588,2.0123708121608e-12,6.27768221993617e-10,"Icam1","Yes","Icam1"
"Fas",1385.53239118085,-0.63701496135526,0.095786451297884,2.42107800757766e-12,7.33052574970829e-10,"Fas","Yes","Fas"
"Ntng2",1058.00883344799,-0.493102679465011,0.0733545704725296,2.3956895324064e-12,7.33052574970829e-10,"Ntng2","Yes","Ntng2"
"Slc36a1",521.224448687143,-0.44356401833736,0.0657423282554735,3.31537655793249e-12,9.83965432491883e-10,"Slc36a1","Yes","Slc36a1"
"Tmem106c",1412.8252587671,0.370863210537857,0.0550204497372888,3.34535821431016e-12,9.83965432491883e-10,"Tmem106c","Yes","Tmem106c"
"Exoc8",668.586565307195,-0.401963213965509,0.0606246342868657,3.75200945587472e-12,1.08802989700006e-09,"Exoc8","Yes","Exoc8"
"Gsn",284288.641749126,0.731764452294559,0.111344456363894,4.03986253728065e-12,1.15523235805655e-09,"Gsn","Yes","Gsn"
"Dnajb6",2940.45268842217,0.227104648813634,0.0333505958487075,4.51692859007371e-12,1.27395948960312e-09,"Dnajb6","Yes","Dnajb6"
"Fdft1",3080.89016437204,0.377801067339099,0.0576905830751413,4.92660448661166e-12,1.36009340387823e-09,"Fdft1","Yes","Fdft1"
"Gm10717",4.74638612792188,3.8816471552036,0.603514871277698,5.02050117512971e-12,1.36009340387823e-09,"Gm10717","Yes","Gm10717"
"Gm43197",158.263480360896,-0.810800063621872,0.124270523185292,4.97681247886047e-12,1.36009340387823e-09,"Gm43197","Yes","Gm43197"
"Glrx",839.724030978046,-0.751317619103595,0.115870808653257,5.38295159888219e-12,1.43934533077124e-09,"Glrx","Yes","Glrx"
"Cst3",10795.5459167028,0.399392637532278,0.0601061984047492,5.73094736218793e-12,1.51274968256522e-09,"Cst3","Yes","Cst3"
"Dcn",2025.54396852256,0.803187699216949,0.123534544906539,5.84607045212805e-12,1.52360436125145e-09,"Dcn","Yes","Dcn"
"Osbp2",208.897228329756,0.791221124386459,0.121952826942706,6.31951500003088e-12,1.62640617919545e-09,"Osbp2","Yes","Osbp2"
"Dgkh",166.588964895689,-0.724794361609274,0.11209309488097,8.10073851034158e-12,2.05908771838793e-09,"Dgkh","Yes","Dgkh"
"Abca8a",1679.45762928533,0.738469079481567,0.114818189419192,9.16600734217514e-12,2.30145030692737e-09,"Abca8a","Yes","Abca8a"
"Hist1h4n",29.0777352226142,-1.4866158211716,0.234916144425896,1.05350997036549e-11,2.61333937106689e-09,"Hist1h4n","Yes","Hist1h4n"
"Col6a3",3274.43346339563,-1.10984660624089,0.174193452060137,1.10881094746408e-11,2.71777483301641e-09,"Col6a3","Yes","Col6a3"
"Tmem159",1269.63490690108,0.832834168747523,0.131656182256654,1.32450750581092e-11,3.20826882789895e-09,"Tmem159","Yes","Tmem159"
"Usp6nl",630.935305791729,-0.471985289413905,0.0736492927343174,1.7362746077108e-11,4.1567625462974e-09,"Usp6nl","Yes","Usp6nl"
"Ctps2",2051.39691435419,0.434823139155261,0.0674146324443445,1.94911289605717e-11,4.61267648470357e-09,"Ctps2","Yes","Ctps2"
"Gm21887",746.689912691493,1.282718822296,0.205698538424334,2.12698457564721e-11,4.97641879863641e-09,"Gm21887","Yes","Gm21887"
