"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"",97485.6233280159,9.50324089458574e-06,0.0014426525285944,0.14296736567386,0.965138818756704,"","No",NA
"0610005C13Rik",9.05359528236833,5.08252247977954e-07,0.0014426898212708,0.794833489854074,NA,"0610005C13Rik",NA,NA
"0610006L08Rik",0.213120573009368,-1.30003637820976e-07,0.00144269501270727,0.710326354477834,NA,"0610006L08Rik",NA,NA
"0610009B22Rik",622.429903980282,-6.33629722375228e-06,0.00144250480609347,0.594580921189466,0.975794708309648,"0610009B22Rik","No",NA
"0610009E02Rik",17.0322783387962,9.56202427397114e-08,0.00144268242503551,0.975906022082181,0.996852043958017,"0610009E02Rik","No",NA
"0610009L18Rik",104.295784558314,1.47839335325448e-05,0.00144268251426852,0.108852108019606,0.959528224506864,"0610009L18Rik","No",NA
"0610010F05Rik",1088.88980081406,-5.26236359078792e-06,0.00144259766087283,0.538925360125155,0.974614155286565,"0610010F05Rik","No",NA
"0610010K14Rik",376.977336434015,-1.05124178828904e-05,0.00144254361023981,0.868553324764577,0.991441354928433,"0610010K14Rik","No",NA
"0610012G03Rik",943.928655912569,4.33971382558e-06,0.00144232841541229,0.0499751633005919,0.959528224506864,"0610012G03Rik","No",NA
"0610025J13Rik",11.6752903979506,-2.47441865163578e-06,0.00144268634390314,0.416654594180022,NA,"0610025J13Rik",NA,NA
"0610030E20Rik",1006.03486744549,8.43998703213497e-06,0.00144258839199745,0.362628389355651,0.96988964270494,"0610030E20Rik","No",NA
"0610031O16Rik",2.94617408071939,1.47437200639198e-07,0.00144269289550602,0.907555890983788,NA,"0610031O16Rik",NA,NA
"0610033M10Rik",1.6234728803553,1.58593673186941e-09,0.00144269455357326,0.998799671788274,NA,"0610033M10Rik",NA,NA
"0610038B21Rik",9.47905052812881,1.39327776716918e-06,0.00144268897447266,0.517569765539178,NA,"0610038B21Rik",NA,NA
"0610039K10Rik",1.0675343732493,-3.48221924471814e-07,0.00144269443570397,0.598675454149543,NA,"0610039K10Rik",NA,NA
"0610040B10Rik",68.3264145886493,5.48911540471802e-08,0.00144265144743118,0.99176036291501,0.99850441893139,"0610040B10Rik","No",NA
"0610040F04Rik",0.397984541100949,-1.03861354272437e-07,0.00144269470384554,0.857228382433617,NA,"0610040F04Rik",NA,NA
"0610040J01Rik",1.12221888854261,3.12150047402464e-08,0.00144269435082029,0.963340929461534,NA,"0610040J01Rik",NA,NA
"0610043K17Rik",38.6393156745581,-8.3897972282386e-07,0.00144268289212356,0.775107805043621,0.989380836054069,"0610043K17Rik","No",NA
"1010001B22Rik",31.2281481761418,1.22964586008766e-07,0.00144267963699896,0.701309609220606,0.98167241788083,"1010001B22Rik","No",NA
"1010001N08Rik",61.4242732483427,2.33380100728589e-06,0.00144267698085884,0.52929666786722,0.974614155286565,"1010001N08Rik","No",NA
"1110002E22Rik",1.02022021367581,1.73603141619829e-07,0.00144269479138143,0.576595239132537,NA,"1110002E22Rik",NA,NA
"1110002J07Rik",2.21904216889806,2.22462289190335e-07,0.00144269349912736,0.828086317050212,NA,"1110002J07Rik",NA,NA
"1110002L01Rik",214.183149023751,-1.75640241662714e-06,0.00144260324050597,0.828890297772798,0.989380836054069,"1110002L01Rik","No",NA
"1110003F10Rik",15.4607428960041,-3.73400783497908e-07,0.00144268254334564,0.899937122115487,NA,"1110003F10Rik",NA,NA
"1110004F10Rik",2052.46842073119,-3.07849805053734e-05,0.00144252074737316,0.99972335493912,0.999902153603949,"1110004F10Rik","No",NA
"1110006O24Rik",47.5696272081581,-3.40192417505413e-06,0.00144266088873435,0.973128117014257,0.99684326279505,"1110006O24Rik","No",NA
"1110008P14Rik",939.259509609512,-2.15662279139289e-06,0.00144264721935228,0.714617384406438,0.984375728988241,"1110008P14Rik","No",NA
"1110012L19Rik",391.233354202505,1.02547474393104e-05,0.00144263566734031,0.584803023005313,0.975794708309648,"1110012L19Rik","No",NA
"1110013H19Rik",24.4743195435504,2.16394330595085e-07,0.00144267054971399,0.959939798596822,0.99459442091024,"1110013H19Rik","No",NA
"1110017D15Rik",0.339033157924881,-1.60703958176585e-07,0.00144269492423835,0.763255955759706,NA,"1110017D15Rik",NA,NA
"1110018N20Rik",134.637202261533,-1.26308546674095e-05,0.00144267171767411,0.0207722561969606,0.959528224506864,"1110018N20Rik","No",NA
"1110019D14Rik",188.047186556372,-3.21134475490318e-06,0.00144261529962931,0.674734103936738,0.980042980627536,"1110019D14Rik","No",NA
"1110020A21Rik",45.0206925967499,2.8451330725609e-06,0.00144267133179704,0.505021755933466,0.970641740612449,"1110020A21Rik","No",NA
"1110025M09Rik",19.0043883611722,-3.6928669189561e-06,0.00144268597930124,0.182092939322913,0.96988964270494,"1110025M09Rik","No",NA
"1110028F18Rik",0.74786595418581,1.54393224181311e-07,0.00144269476914737,0.692607772858724,NA,"1110028F18Rik",NA,NA
"1110032A03Rik",1434.51103139217,1.01684210754486e-05,0.00144242927426128,0.771137154201117,0.989356770250226,"1110032A03Rik","No",NA
"1110035H17Rik",8.84362309971989,1.27010316728391e-06,0.00144268768386893,0.589367319789282,NA,"1110035H17Rik",NA,NA
"1110038B12Rik",158.602151701522,0.277288506493697,0.299771952837449,0.00410923890344318,0.737209754658161,"1110038B12Rik","No",NA
"1110038F14Rik",486.661979497989,-9.50724113044984e-06,0.00144252725376242,0.403356054836842,0.96988964270494,"1110038F14Rik","No",NA
"1110046J04Rik",44.6642728334922,4.16886423811496e-06,0.00144268235261384,0.214973575471297,0.96988964270494,"1110046J04Rik","No",NA
"1110051M20Rik",106.038670166703,1.85460001954002e-06,0.00144264928812851,0.904005397615371,0.992350944582066,"1110051M20Rik","No",NA
"1110059E24Rik",371.198523380545,3.08022577176443e-08,0.00144253468892105,0.813705859530911,0.989380836054069,"1110059E24Rik","No",NA
"1110059G10Rik",313.059511366347,-6.41862950568032e-06,0.00144255867042109,0.527366661132363,0.974614155286565,"1110059G10Rik","No",NA
"1110065P20Rik",484.399753605774,-1.02305732418967e-05,0.00144253924794712,0.360057432845832,0.96988964270494,"1110065P20Rik","No",NA
"1190001M18Rik",1.32236031299097,4.24054842638614e-07,0.00144269454463268,0.8992712687847,NA,"1190001M18Rik",NA,NA
