,baseMean,log2FoldChange,lfcSE,pvalue,padj,Genes,Sig,Labl
Esr1,4549.82657,1.990918334,0.170331672,3.22E-33,5.43E-29,Esr1,Yes,Esr1
Atg7,1086.946102,-3.219295125,0.322418234,1.33E-25,1.12E-21,Atg7,Yes,Atg7
B630019A10Rik,45.65763158,2.668207667,0.295823595,1.04E-20,5.82E-17,B630019A10Rik,Yes,B630019A10Rik
Tmem181b-ps,29.50799267,4.509110164,0.604458113,4.36E-15,1.84E-11,Tmem181b-ps,Yes,Tmem181b-ps
Dynlt1b,490.5406835,2.800050322,0.42109791,1.31E-12,4.41E-09,Dynlt1b,Yes,Dynlt1b
Rfc4,182.1740339,0.898182558,0.148178942,5.50E-11,1.55E-07,Rfc4,Yes,Rfc4
Ephx1,1093.910962,1.002473207,0.192145712,7.54E-09,1.82E-05,Ephx1,Yes,Ephx1
Eda2r,51.9341528,1.22771876,0.24306005,1.78E-08,3.75E-05,Eda2r,Yes,Eda2r
Gm3435,135.1653856,0.800371175,0.173013895,1.50E-07,0.000281161,Gm3435,Yes,NA
Gm14308,8.983569237,2.699123422,0.658697838,1.82E-06,0.003072571,Gm14308,Yes,NA
Ccng1,6701.786984,0.35124621,0.089918197,3.51E-06,0.005376878,Ccng1,Yes,NA
Rpl30,2793.473497,0.199499779,0.051791913,4.37E-06,0.006137911,Rpl30,Yes,NA
BC106179,9.525740133,1.753437654,0.453099324,5.17E-06,0.006712794,BC106179,Yes,NA
Ccn5,405.053014,0.53218064,0.141293778,6.16E-06,0.006926866,Ccn5,Yes,NA
F830016B08Rik,91.32541557,-0.956149664,0.253671968,6.07E-06,0.006926866,F830016B08Rik,Yes,NA
Tfr2,79.51469095,-0.675239682,0.186619389,1.06E-05,0.010641562,Tfr2,Yes,NA
Trib2,70.98423279,-2.37E-05,0.001442752,1.07E-05,0.010641562,Trib2,Yes,NA
Rps25,4186.292445,0.158134364,0.044542289,1.21E-05,0.011377989,Rps25,Yes,NA
Adamts19,94.90464658,-0.745617997,0.211274949,1.52E-05,0.013422994,Adamts19,Yes,NA
Pde2a,849.9565632,-0.482182439,0.137662711,1.59E-05,0.013422994,Pde2a,Yes,NA
Apoe,148277.3803,0.434175696,0.124464119,1.75E-05,0.014085464,Apoe,Yes,NA
